EAN,Marca,Producto,Link
7798182771261,Cepage,"Producto Clarité TX Sérum. Marca Cepage Descripción: Sérum despigmentante intensivo Antioxidante y protector celular. Indicaciones: Clarité Sérum despigmentante intensivo, es un tratamiento para ayudar a reducir las manchas y su reaparición Indicado para hiperpigmentaciones de cualquier origen y manchas asociadas al fotoenvejecimiento Promueve una piel radiante y un tono uniforme. Uso: Aplicar sobre la piel limpia y seca del rostro, cuello y escote Colocar 3a 5gotas una vez al día sobre la piel realizando suaves masajes circulares con la yema de los dedos Evitar el contorno de ojos Se recomienda utilizar el producto diariamente durante 60-90días como mínimo Para potenciar el efecto, se recomienda complementar con Clarité crema fluída y/o Renovateurs Durante el tratamiento, es necesario el uso de protección solar FPS 50+ de día y evitar la exposición prolongada al sol. Beneficios: Clarité Sérum es una fórmula específica despigmentante Ideal para manchas cutáneas propias de la edad o bien causadas por factores medioambientales o genéticos Contiene ácido tranexámico al 3%, una molécula de referencia con alta eficacia para despigmentar y optimizar la acción de otros tratamientos para hiperpigmentación, sean dermocosméticos y/o médicos Se potencia con Niacinamida 5% que hidrata, protege la barrera cutánea y unifica el tono Además, posee OTZ 0®ProTaurine que es un poderoso antioxidante y protector celular frente a los daños provocados por especies reactivas de oxígeno (ROS) nitrógeno (RNS) y carbonilo (RCS) provenientes de la incidencia de los rayos UV, la polución, contaminación y luz azul Es un activo inteligente, que luego de captar los radicales libres, se convierte en taurina; un poderoso activo antifatiga Un shock de energía para la piel Contiene, además nuestros exclusivos polifenoles de UVA Con el uso frecuente y correcto Clarité Sérum unifica el tono, reduce las manchas y su reaparición Su textura es fluida y de rápida absorción. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; dermocosmética; pigmentación; clarité; manchas. Presentación Gotero x 30ml.",nan
7798182770028,Cepage,"Producto Hydrafirm AR. Marca Cepage Descripción: Sérum hidratante anti-age de día Antioxidante. Indicaciones: Hydrafirm AR sérum de día es un hidratante y preventivo de las arrugas de expresión de textura ultra ligera, cuidado diario ideal para todo tipo de piel. Uso: Aplicar Hydrafirm AR sérum de día sobre la piel limpia y seca del rostro, cuello y escote Se recomienda utilizar combinado con Hydrafirm HA sérum, para potenciar el tratamiento hidratante. Beneficios: Su fórmula contiene activos sinérgicos e innovadores: Pentavitin®; un ingrediente 00% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72horas Argireline®, hexapéptido que previene y suaviza las arrugas y líneas de expresión causadas por la contracción muscular Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA Su textura ligera permite una rápida absorción. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; piel normal a sensible; dermocosmética; hidratación; hydrafirm; anti; edad. Presentación Airless x 30ml. Dimensiones 42mm x 35mm x 130mm. Peso 63gr.",nan
7798182770011,Cepage,"Producto Hydrafirm PH. Marca Cepage Descripción: Crema ultra-hidratante anti-age de noche Regula el FHN (Factor Natural de Hidratación) Previene arrugas Antioxidante. Indicaciones: Hydrafirm PH crema de noche es un tratamiento ultrahidratante y preventivo de las arrugas y/o líneas de expresión Cuidado diario de noche ideal para todo tipo de piel. Uso: Aplicar Hydrafirm PH cream de noche sobre la piel limpia y seca del rostro, cuello y escote Se recomienda utilizarlo combinado con Hydrafirm HA serúm, para potenciar el tratamiento hidratante. Beneficios: Su fórmula contiene activos sinérgicos e innovadores Pentavitin®: un ingrediente 00% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72horas Urea, componente natural de FHN (factor hidratante natural), realiza una suave exfoliación y es hidratante Ácido Hialurónico potencia la acción hidratante Posee además un alto efecto antioxidante gracias a la asociación de vitamina E y Polifenoles de UVA. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; piel normal a sensible; dermocosmética; hidratación; hydrafirm; anti; edad. Presentación Pomo x 50g. Dimensiones 40mm x 40mm x 135mm. Peso 70gr.",nan
7798182770097,Cepage,Producto Hydrafirm CO. Marca Cepage Descripción: Crema hidratante y preventiva para contorno de ojos Atenúa bolsas y ojeras Antioxidante. Indicaciones: Hydrafirm CO contorno de ojos es una crema hidratante y preventiva del envejecimiento cutáneo Atenúa bolsas y ojeras Cuidado diario para el contorno de ojos. Uso: Aplicar Hydrafirm CO contorno de ojos sobre la piel limpia y seca del contorno de ojos con suaves masakes ascendentes Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche). Beneficios: Su fórmula contiene activos sinérgicos e innovadores: Pentavitin®; un ingrediente 00% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72horas Eyeseryl®: un potente tetrapéptido con propiedades descongestivas Reduce rápidamente la hinchazón y aumenta la elasticidad de la piel alrededor de los ojos Aclara las ojeras Posee además un alto efecto antioxidante gracias a la asociación de Vitamina E y Polifenoles de UVA. Keywords: orfalmológica y dermatológicamente testeado cruelty free; hipoalergénica sin parabenos clínica; piel normal a sensible; contorno de ojos; dermocosmética; hidratación; hydrafirm. Presentación Pomo cánula x 5g. Dimensiones 40mm x 23mm x 125mm. Peso 28gr.,nan
7798182770103,Cepage,"Producto Hydrafirm Rougeurs. Marca Cepage Descripción: Cuidado concentrado para pieles sensibles y/o rojeces localizadas. Indicaciones: Hydrafirm Rougeurs cuidado concentrado contribuye a calmar el discomfort de pieles sensibles y/o reactivas Atenúa rojeces transitorias y/o permanentes y previene su aparición. Uso: Aplicar Hydrafirm Rougeurs sobre la piel limpia y seca del rostro, con especial atención en zonas con rojeces Se recomienda el uso de protección solar durante el día. Beneficios: Su fórmula contiene activos sinérgicos e innovadores: Oligovita™ aporta oligoelementos de origen vegetal; cuida y revitaliza piele apagadas y cansadas Se suman Chamomilla, Castaño de Indias, Hamamelis, Árnica y Regaliz que aportan alivio y calma Reduce las sensaciones de irritación y rubor Atenúa rojeces transitorias y/o permanentes y previene su aparición Contiene Polifenoles de UVA como antioxidante Además, posee un ligero color verde, que ayuda a neutralizar ópticamente las rojeces. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; piel normal a sensible; dermocosmética; hidratación; hydrafirm. Presentación Pomo cánula x 30g. Dimensiones 40mm x 30mm x 145mm. Peso 48gr.",nan
7798182770875,Cepage,"Producto Hydrafirm H20. Marca Cepage Descripción: Solución micelar limpiadora y desmaquillante de rostro y ojos para pieles normales y sensibles Limpia, desmaquilla e hidrata. Indicaciones: Hydrafirm H20ees una solución micelar limpiadora y desmaquillante de rostro y ojos para pieles normales y sensibles Limpia, desmaquilla e hidrata Piel fresca e hidratada al instante. Uso: Aplicar Hydrafirm H2O con un algodón humedecido sobre todo el rostro Limpiar y/o desmaquillar la cara y los ojos con suavidad Repetir la aplicación hasta que el algodón salga limpio y secar la cara suavemente sin frotar, con una toalla limpia. Beneficios: Manitol y Xilitol son activos hidratantes y calmantes Oligovita™ es un activo vegetal compuesto por L-Arginina, Maca y jengibre que proporciona oligoelementos vitales para la piel Pentavitin® es un ingrediente 00 % natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad por 72horas; mejora la hidratación de las células epidérmicas y refuerza el efecto barrera de la piel Posee un alto efecto anti oxidante gracias a nuestros exclusivos Polifenoles de UVA. Keywords: orfalmológica y dermatológicamente testeado cruelty free; hipoalergénica sin parabenos clínica; piel normal a sensible; dermocosmética; hydrafirm; limpieza. Presentación Envase x 245ml. Dimensiones 60mm x 55mm x 145mm. Peso 276gr.",nan
7798182770905,Cepage,"Producto Hydrafirm UV. Marca Cepage Descripción: Emulsión hidratante y protectora de día SPF 30+. Indicaciones: Hydrafirm UV es una emulsión para el rostro, ultra hidratante y preventiva del fotoenvejecimiento cutáneo Contiene filtros de amplio espectro SPF30, que protegen la piel de los daños producidos por los rayos UVB/UVA Además, contiene OTZ 0® ProTaurine poderoso antioxidante y protector celular frente a los daños provocados por radicales libres, luz azul e IR Su textura es fluida y de rápida absorción con un acabado suave. Uso: Aplicar Hydrafirm UV sobre la piel limpia y seca del rostro, cuello y escote Colocar sobre la piel realizando suaves masajes circulares con la yema de los dedos evitando el contorno de ojos Este producto no es un protector solar. Beneficios: Su fórmula contiene Ácido Hialurónico combinado con Pentavitin®; un ingrediente 00% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura 72horas Contiene filtros de amplio espectro SPF30, que protegen la piel de los daños producidos por los rayos UVB/UVA Además, posee OTZ 0® ProTaurine que es un poderoso antioxidante y protector celular frente a los daños provocados por especies reactivas de oxígeno (ROS) nitrógeno (RNS) y carbonilo (RCS) proveniente de la incidencia de los rayos UV, la polución, contaminación y luz azul Es un activo inteligente, que luego de captar los radicales libres, se convierte en taurina; un poderoso activo antifatiga Un shock de energía para la piel Posee un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; piel normal a sensible; dermocosmética; hidratación; hydrafirm. Presentación Airless x 30gr.",nan
7798182770929,Cepage,"Producto Hydrafirm HA. Marca Cepage Descripción: Sérum ultra hidratante Protector del ADN Dérmico Antioxidante. Indicaciones: Hydrafirm HA Sérum es un concentrado hidratante de textura ultra ligera, cuidado diario ideal para todo tipo de piel Previene, protege y estimula los mecanismos naturales de reparación del ADN dérmico a la vez que genera una reserva de humedad de hasta 72horas. Uso: Aplicar Hydrafirm HA Sérum sobre la piel limpia y seca del rostro, cuello y escote Colocar 3a 5gotas sobre la piel realizando suaves masajes circulares con la yema de los dedos Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche) Se recomienda utilizar combinado con Hydrafirm AR, Hydrafirm UV y/o Hydrafirm PH para potenciar el tratamiento hidratante. Beneficios: Su fórmula contiene activos sinérgicos e innovadores: Pentavitin®; un ingrediente 00% natural que garantiza una hidratación instantánea y profunda generando una reserva de humedad que dura hasta 72horas, potenciado con Ácido Hialurónico de alto peso molecular que garantiza una hidratación prolongada Juveleven™, hexapéptido que refuerza los mecanismos naturales de reparación y eliminación de errores en el ADN dérmico que ocurren a lo largo de los años, rejuveneciendo las células de la piel Guardián de la integridad genómica Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; piel normal a sensible; dermocosmética; hidratación; hydrafirm. Presentación Gotero x 30ml.",nan
7798182771148,Cepage,"Producto Tenseur DMAE. Marca Cepage Descripción: Concentrado anti-age efecto tensor, reafirma, ilumina e hidrata Antioxidante. Indicaciones: Tenseur DMAE es un concentrado que favorece el incremento de la firmeza y elasticidad de la piel Un shock tensor de 0días de tratamiento para pieles con flaccidez y/o envejecimiento. Uso: Golpear suavemente la cabeza de la ampolla, insertar el rompe ampollas plástico y partirla Aplicar el contenido de la ampolla Tenseur DMAE sobre la piel limpia y seca del rostro, cuello y escote Evitar el contorno de ojos Aplicar una ampolla por día, durante 0días consecutivos Para una máxima eficacia, se recomienda repetirlo vez al mes al menos 3meses Se recomienda utilizar combinado con nuestra línea anti-age Tenseur. Beneficios: Tenseur DMAE es un sérum anti-age que contiene DMAE (dimetilaminoetanol) 5% Es un activo que favorece el aumento de la síntesis de colágeno y de glicosaminoglicanos dérmicos Mejora la tonicidad y firmeza cutánea Contiene Epidermosil® 2% que combina silicio orgánico con ácido hialurónico de bajo peso molecular Rellena e hidrata 24hs Su fórmula se potencia con péptidos que estimulan la producción de colágeno y elastina dérmicos Un shock tensor y reafirmante de la piel Posee un alto efecto antioxidante gracias a nuestros Polifenoles de UVA Su textura es muy ligera, y se absorbe rápidamente La piel lucirá iluminada, revitalizada y rejuvenecida. Keywords: hipoalergénico testeado clínica y dermatológicamente; dermocosmética; tenseur; anti; edad. Presentación 0Ampollas x 2ml.",nan
7798182770349,Cepage,"Producto Tenseur HA B5. Marca Cepage Descripción: Sérum concentrado Anti-Age Rellena y repara arrugas Ultra-hidratante Antioxidante. Indicaciones: Tenseur HA B5Serúm Anti-Age es un super concentrado que rellena y repara arrugas y líneas de expresión Cuidado diario ideal para todo tipo de pieles Complejo hidratante y antioxidante. Uso: Aplicar Tenseur HA B5Serúm sobre la piel limpia y seca del rostro, cuello y escote Colocar 3a 5gotas sobre la piel realizando suaves masajes circulares con la yema de los dedos Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche) Se recomienda utilizar combinado con Tenseur HA B5Lifting o Tenseur HA B5Volumen para potenciar el tratamiento anti-edad. Beneficios: Su fórmula combina altas concentraciones de Ácidos Hialurónicos de bajo y alto peso molecular Epidermosil® 3% que combina Silicio Orgánico con Ácido Hialurónico de bajo peso molecular y potenciado con Ácido Hialurónico 0,2% de alto pesomolecular Efecto lifting, rellena e hidrata 24horas Contiene además Vitamina B5que repara la piel Estimula la regeneración y la resistencia de la piel Gracias a nuestros exclusivos Polifenoles de UVA posee un alto efecto antioxidante Esta asociación brinda un efecto lifting inmediato y duradero. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; dermocosmética; tenseur; anti; edad. Presentación Gotero x 30ml. Dimensiones 64mm x 39mm x 100mm. Peso 60gr.",nan
7798182770370,Cepage,"Producto Tenseur HA Contorno de ojos. Marca Cepage Descripción: Crema Anti-Age para contorno de ojos Rellena y repara arrugas Atenúa bolsas y ojeras. Indicaciones: Tenseur HA Contorno de Ojos es una crema Anti-Age para el contorno de ojos Cuidado diario ideal para todo tipo de piel Rellena y repara arrugas y líneas de expresión de forma inmediata y duradera Es hidratante y antioxidante Atenúa bolsas y ojeras. Uso: Aplicar Tenseur HA Ojos sobre la piel limpia y seca del contorno de ojos con suaves masajes ascendentes Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche). Beneficios: Su fórmula contiene activos innovadores, exclusivos y sinérgicos: Cafeisilane® 2% que estimula la microcirculación y atenúa bolsas y ojeras Efecto anti-fatiga y anto-estrés Hyadisine® % activo biotecnológico ""Hyaluronic like"" que brinda un efecto de relleno inmediato Epidermosil® 3% que combina Silicio Orgánico con Ácido Hialurónico de bajo peso molecular potenciado con Ácido Hialurónico 0,% de alto peso molecular Esta asociación brinda un efecto lifting inmediato y duradero en arrugas periorbitales Rellena, hidrata 24horas y suaviza bolsas y ojeras Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA Su mirada lucirá descansada e iluminada. Keywords: orfalmológica y dermatológicamente testeado cruelty free; hipoalergénica sin parabenos clínica; contorno de ojos; dermocosmética; tenseur; anti; edad. Presentación Airless x 5gr. Dimensiones 35mm x 28mm x 115mm. Peso 40gr.",nan
7798182770356,Cepage,"Producto Tenseur HA B5Lifting. Marca Cepage Descripción: Crema gel Anti-Age Rellena y repara arrugas Efecto Inmediato Hidratante Antioxidante. Indicaciones: Tenseur HA B5Lifting crema gel anti-age rellena y repara arrugas Cuidado diario ideal para pieles con primeras arrugas y deshidratadas Rellena y repara arrugas y líneas de expresión de forma inmediata y duradera Complejo hidratante y antioxidante. Uso: Aplicar Tenseur HA B5Lifting sobre la piel limpia y seca del rostro, cuello y escote; realizando suaves masajes circulares con la yema de los dedos Para alcanzar efectividad máxima aplicar dos veces al día (mañana y noche) Se recomienda utilizar combinado con Tenseur HA B5Serúm para potenciar el tratamiento anti-edad. Beneficios: Su fórmula contiene activos innovadores, exclusivos y sinérgicos: Hyadisine® %, activo biotecnológico ""Hyaluronic like"" que brinda un efecto de relleno inmediato Epidermosil® 3% que combina Silicio Orgánico con Ácido Hialurónico de bajo peso molecular potenciado con Ácido Hialurónico 0,2% de alto peso molecular Contiene además Vitamina B5que repara y protege la piel Estimula la regeneración y resistencia de la piel Esta asociación brinda un efecto lifting inmediato y duradero Rellena e hidrata 24horas Posee además un alto efecto antioxidante gracias a nuestros exclusivos Polifenoles de UVA La piel lucirá alisada, revitalizada y rejuvenecida. Keywords: hipoalergénica sin parabenos clínica y dermatológicamente testeado cruelty free; dermocosmética; tenseur; anti; edad. Presentación Airless x 30gr. Dimensiones 40mm x 33mm x 150mm. Peso 63gr.",nan
