EAN,Marca,Nombre,Presentacion,Indicaciones,Categoria,Modo de uso,Beneficios,Propiedades,General
7798182770905,Cepage,Hydrafirm UV Emulsión,Airless x 30gr,Emulsión ultra hidratante y preventiva del fotoenvejecimiento cutáneo. Para piel normal a sensible.,Hidratante y protector de día,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote. Realizar suaves masajes circulares con la yema de los dedos evitando el contorno de ojos.","Hidratación instantánea y profunda que dura 72 horas. Protección contra daños UVB/UVA. Antioxidante y protector celular frente a radicales libres, luz azul e IR.","Ácido Hialurónico, Pentavitin®, OTZ 0® ProTaurine, Polifenoles de UVA. Hipoalergénica, sin parabenos, clínicamente y dermatológicamente testeado.",
7798182770929,Cepage,Hydrafirm HA Sérum,Gotero x 30ml,"Cuidado diario ideal para todo tipo de piel. Previene, protege y estimula los mecanismos naturales de reparación del ADN dérmico. Reserva de humedad de hasta 72 horas.",Sérum hidratante,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote. Colocar 3 a 5 gotas realizando suaves masajes circulares. Aplicar dos veces al día (mañana y noche).","Hidratación instantánea y profunda, reserva de humedad hasta 72 horas, refuerza mecanismos de reparación del ADN dérmico, rejuvenece células de la piel, alto efecto antioxidante.","Pentavitin®, Ácido Hialurónico de alto peso molecular, Juveleven™, Polifenoles de UVA. Hipoalergénica, sin parabenos, testeado dermatológicamente.",
7798182771148,Cepage,Tenseur DMAE Concentrado,Ampollas x 2ml,Favorece el incremento de la firmeza y elasticidad de la piel. Tratamiento para pieles con flaccidez y/o envejecimiento.,Anti-age,"Golpear suavemente la cabeza de la ampolla, insertar el rompe ampollas plástico y partirla. Aplicar el contenido sobre la piel limpia y seca del rostro, cuello y escote, evitando el contorno de ojos. Aplicar una ampolla por día, durante 10 días consecutivos. Repetir una vez al mes por al menos 3 meses.","Favorece el aumento de la síntesis de colágeno y glicosaminoglicanos, mejora la tonicidad y firmeza cutánea, rellena e hidrata por 24 horas, estimula la producción de colágeno y elastina, alto efecto antioxidante, piel iluminada, revitalizada y rejuvenecida.","DMAE (dimetilaminoetanol) 5%, Epidermosil® 2%, ácido hialurónico de bajo peso molecular, péptidos, Polifenoles de UVA. Hipoalergénico, testeado dermatológicamente.",
7798182770349,Cepage,Tenseur HA B5 Sérum,Gotero x 30ml,Super concentrado que rellena y repara arrugas y líneas de expresión. Ideal para todo tipo de pieles.,Anti-Age,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote. Colocar 3 a 5 gotas realizando suaves masajes circulares. Aplicar dos veces al día (mañana y noche).","Rellena y repara arrugas, ultra-hidratante, antioxidante, efecto lifting inmediato y duradero, estimula la regeneración y resistencia de la piel.","Ácidos Hialurónicos de bajo y alto peso molecular, Epidermosil® 3%, Silicio Orgánico, Vitamina B5, Polifenoles de UVA. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 64mm x 39mm x 100mm. Peso 60gr.
7798182770370,Cepage,Tenseur HA Contorno de Ojos,Airless x 5gr,"Crema Anti-Age para el contorno de ojos, ideal para todo tipo de piel. Rellena y repara arrugas y líneas de expresión, hidratante y antioxidante. Atenúa bolsas y ojeras.",Anti-Age Contorno de Ojos,Aplicar sobre la piel limpia y seca del contorno de ojos con suaves masajes ascendentes. Aplicar dos veces al día (mañana y noche).,"Rellena y repara arrugas, atenúa bolsas y ojeras, efecto anti-fatiga y anti-estrés, efecto de relleno inmediato, hidrata 24 horas, suaviza bolsas y ojeras, alto efecto antioxidante.","Cafeisilane® 2%, Hyadisine®, Epidermosil® 3%, Ácido Hialurónico de bajo y alto peso molecular, Polifenoles de UVA. Oftalmológica y dermatológicamente testeado, hipoalergénica, sin parabenos.",Dimensiones 35mm x 28mm x 115mm. Peso 40gr.
7798182770356,Cepage,Tenseur HA B5Lifting Crema Gel,Airless x 30gr,Ideal para pieles con primeras arrugas y deshidratadas. Rellena y repara arrugas y líneas de expresión de forma inmediata y duradera.,Anti-edad,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote; realizar suaves masajes circulares con la yema de los dedos. Aplicar dos veces al día (mañana y noche). Se recomienda combinar con Tenseur HA B5Serúm.","Efecto de relleno inmediato, hidrata 24 horas, efecto lifting inmediato y duradero, alisa, revitaliza y rejuvenece la piel.","Hyadisine®, Epidermosil® 3%, Silicio Orgánico, Ácido Hialurónico de bajo y alto peso molecular, Vitamina B5, Polifenoles de UVA. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 40mm x 33mm x 150mm. Peso 63gr.
7798182770363,Cepage,Tenseur HA B5Volumen Crema Gel,Airless x 30gr,"Cuidado diario ideal para pieles maduras y envejecidas. Rellena y repara arrugas profundas. Redefine los contornos del rostro aportando volumen, firmeza y nutrición. Hidratante y antioxidante.",Anti-Age,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote, realizando suaves masajes circulares. Aplicar dos veces al día (mañana y noche). Se recomienda combinar con Tenseur HA B5Serúm.","Estimula la producción de colágeno, elastina y Ácido Hialurónico. Revierte el envejecimiento cronológico, retarda el fotoenvejecimiento, redensifica, reafirma, rellena e hidrata 24 horas, estimula la regeneración y resistencia de la piel, efecto antioxidante, mejora el estado general de la piel, aporta volumen y firmeza.","Matrixyl ® 3000, Epidermosil®, Silicio Orgánico, Ácido Hialurónico de bajo y alto peso molecular, Vitamina B5, Polifenoles de UVA. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 40mm x 33mm x 150mm. Peso 63gr.
7798182770233,Cepage,Filtres Fluide 50+,Spray x 50ml,"Fotoprotección diaria contra rayos UVB/UVA, para pieles extremadamente sensibles a la quemadura solar.",Protección solar,"Aplicar abundantemente 30 minutos antes de la exposición al sol. Reaplicar cada 2 horas y/o luego de sudoración intensa, nadar, bañarse, secarse con toalla y durante la exposición al sol.","Hidratante multifuncional, calmante, garantiza protección óptima, previene envejecimiento prematuro, protege del daño celular, textura ultraligera y de rápida absorción.","Aquaxyl, Sepicalm S, Filtros UVA/UVB. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 50mm x 40mm x 130mm. Peso 87gr.
7798182770264,Cepage,Filtres Fluide Color 50+,50ml,"Fotoprotección diaria contra rayos UVB/UVA, para pieles extremadamente sensibles a la quemadura solar.",Protección solar,"Agitar vigorosamente antes de usar. Aplicar generosamente sobre la piel limpia y seca, 30 minutos antes de la exposición al sol. Repetir la aplicación cada 2 horas durante la exposición al sol y renovarla luego del contacto con el agua y/o sudoración intensa, y después de secarse con toalla.","Garantiza una protección óptima, previene el envejecimiento prematuro provocado por la acción de los rayos solares, protege la piel del riesgo del daño celular. Textura ultraligera y de rápida absorción, con color.","Filtros UVA/UVB. Hipoalergénica, sin parabenos, clínicamente y dermatológicamente testeado.",Dimensiones 50mm x 40mm x 130mm. Peso 87gr.
7798182770394,Cepage,Filtres Fluide Toucher Sec 50+,50gr,"Fotoprotección diaria contra rayos UVB/UVA, para pieles extremadamente sensibles a la quemadura solar. Crema fluída, acabado mate y toque seco. Formula oil-free, controla y reduce la oleosidad de la piel.",Protección solar,"Aplicar abundantemente 30 minutos antes de la exposición al sol. Repetir cada dos horas y/o luego del contacto con el agua, sudoración intensa, nadar, bañarse, secarse con toalla y durante la exposición al sol.","Garantiza una protección óptima, previene el envejecimiento prematuro de la piel y las manchas provocadas por los rayos solares. Textura ultra ligera y de rápida absorción. Acabado mate (anti-brillo).","Hipoalergénica, sin parabenos, clínicamente y dermatológicamente testeado.",Dimensiones 50mm x 40mm x 130mm. Peso 87gr.
7798182771100,Cepage,Capillaire Max Champú Anticaída,90ml,"Limpia, estimula el crecimiento y fortalece la fibra capilar.",Champú anticaída,"Aplicar en el cuero cabelludo, masajear suavemente con la yema de los dedos, dejar actuar unos minutos y enjuagar con abundante agua. Utilizar dos a tres veces por semana.","Promueve fibras fuertes y resistentes, mejora la microcirculación del cuero cabelludo, revitaliza la fibra del cabello, estimula el crecimiento.","Aminexil, extracto de ortiga, phytoqueratina, vitamina E, polifenoles de uva. Hipoalergénica, sin parabenos, testeado dermatológicamente.",
7798182771117,Cepage,Capillaire Champú Caspa G,90ml,Limpia y controla oleosidad y caspa.,Tratamiento para caspa,"Aplicar en el cuero cabelludo, masajear suavemente con la yema de los dedos, dejar actuar unos minutos y enjuagar con abundante agua. Utilizar dos a tres veces por semana.","Seborregula, alivia la picazón, deja el cabello suave, hidratado y brillante.","Piroctone Olamine, ácido salicílico, tea tree oil, polifenoles de uva. Hipoalergénica, sin parabenos, testeado dermatológicamente.",
7798182770387,Cepage,Capillaire Max Loción Anticaída,Spray x 20ml,"Estimula el crecimiento del cabello, restaura su estructura, aporta fuerza y resistencia a la fibra capilar.",Tratamiento anticaída capilar,"Aplicar en el cuero cabelludo una vez al día, masajear suavemente con la yema de los dedos, no enjuagar. Recomendado sobre cabello húmedo, recién lavado. Complementar con CÉPAGE Champú Anticaída.",No deja película oleosa.,"Aminexil 2%, Pantotenato de Calcio, Arginina. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 50mm x 50mm x 190mm. Peso 165gr.
7798182770639,Cepage,Capillaire Max Acide Aminé,30 comprimidos recubiertos,Coadyuvante en el tratamiento de la caída del cabello y de las uñas frágiles y quebradizas. Mejora el aspecto general de la piel.,Suplemento dietario para cabello y uñas,Tomar un comprimido recubierto por día.,"Fortalece y protege el crecimiento del cabello y uñas, mejora el aspecto general de la piel, retarda los procesos de envejecimiento.","L-Cistina, Biotina, Zinc, Pantonetato de Calcio, Vitamina B6.",Dimensiones 70mm x 30mm x 95mm. Peso 38gr.
7798182770721,Cepage,Répaphénol Corps,Pomo x 200g,"Indicada para pieles deshidratadas, secas y muy secas. Textura suave, emoliente y de rápida absorción.",Cuidado corporal,Aplicar una o dos veces al día con un ligero masaje sobre la piel limpia hasta su completa absorción.,"Proporciona ultra hidratación duradera, genera una reserva de humedad que dura 72 horas, restaura y refuerza el film hidrolipídico, forma una barrera protectora, nutre y estimula la producción de colágeno, mejora la textura y superficie de la piel.","Urea, Pentavitin®, Aceite de Jojoba, Vitamina A, Vitamina E, Polifenoles de UVA, Ácido láctico. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 80mm x 50mm x 185mm. Peso 248gr.
7798182770226,Cepage,Répaphénol Pieds Gel,Pomo x 70g,"Para pies secos con asperezas, rugosidades y engrosamiento de la piel.",Cuidado de pies,"Aplicar sobre la piel limpia y seca tantas veces como sea necesario, insistiendo en las zonas más afectadas.","Hidrata, nutre, regenera la piel seca de los pies, mejora su aspecto, evita grietas y durezas, restaura la función de barrera de la piel, estimula la regeneración de los tejidos, mejora el índice de hidratación.","Vitamina B5, Urea, Manteca de Karité, Alantoína, Ácido hialurónico, Ácido láctico, Polifenoles de UVA, Vitamina E. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 50mm x 40mm x 150mm. Peso 95gr.
7798182770707,Cepage,Répaphénol Mains,Pomo x 50g,"Crema reparadora e hidratante para manos secas y maltratadas, incluso aquellas sometidas a agresiones diarias extremas.",Cuidado de manos,"Aplicar sobre la piel y masajear hasta su total absorción, tantas veces como sea necesario.","Repara y nutre la piel maltratada, fortalece la película hidrolipídica, refuerza la función de barrera natural, ultra hidratación y nutrición, propiedades antioxidantes y protectoras.","Urea, manteca de karité, queratina, Vitamina E, polifenoles de UVA. Hipoalergénica, sin parabenos, testeado dermatológicamente.",Dimensiones 125mm x 48mm x 128mm. Peso 73gr.
7798182771186,Cepage,Répaphénol Corps,Botella x 450g,"Indicada para pieles deshidratadas, secas y muy secas. Textura suave, emoliente y de rápida absorción.",Crema corporal hidratante,Aplicar una o dos veces al día con un ligero masaje sobre la piel limpia hasta su completa absorción.,"Proporciona ultra hidratación duradera, genera una reserva de humedad que dura 72 horas, restaura y refuerza el film hidrolipídico, forma una barrera protectora, nutre y estimula la producción de colágeno, mejora la textura y superficie de la piel.","Urea, Pentavitin®, Aceite de Jojoba, Vitamina A y E, Polifenoles de UVA, Ácido láctico. Hipoalergénica, sin parabenos, testeado dermatológicamente.",
7798182770172,Cepage,Atophén Lèvres,Labial x 4g,Bálsamo hidratante y reparador para labios secos y agrietados.,Hidratante labial,Aplicar en los labios tantas veces como sea necesario.,"Protege y repara labios dañados y secos, humecta, alto efecto antioxidante.","Manteca de Karité, Manteca de Cacao, aceites vegetales, Polifenoles de Uva. Hipoalergénico.",Dimensiones 28mm x 22mm x 90mm. Peso 18gr.
7798182771247,Cepage,Atophén LN Loción Limpiadora,Envase x 245ml,"Limpia, calma, desmaquilla y suaviza las pieles intolerantes, sensibles y/o reactivas.",Limpieza para pieles intolerantes,"Aplicar con un algodón humedecido sobre el rostro. Limpiar y/o desmaquillar cara y ojos con suavidad. Repetir hasta que el algodón salga limpio. Secar suavemente sin frotar, con una toalla limpia. Con o sin enjuague.","Hidratación instantánea y profunda, reserva de humedad por 72 horas, mejora la hidratación de células epidérmicas, refuerza el efecto barrera, alto efecto antioxidante, limpia suavemente sin resecar o irritar, proporciona frescura y suavidad.","Manitol, Xilitol, Oligovita™ (L-Arginina, Maca, jengibre), Pentavitin®, Polifenoles de UVA. Hipoalergénica, sin fragancia, sin parabenos, testeado dermatológicamente.",Dimensiones 60mm x 55mm x 145mm. Peso 265gr.
7798182770295,Cepage,Atophén Riche Crema,Pomo x 50g,"Para pieles secas, intolerantes, sensibles y/o reactivas. Alivia tirantez, picor, enrojecimiento y resequedad. Protege contra luz azul y polución.",Hidratante y reparadora,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote. Realizar suaves masajes circulares con la yema de los dedos. Aplicar 2 veces al día (mañana y noche) o según necesidad.","Hidratación, nutrición, reparación, protección contra luz azul y polución, unifica tono, mejora textura, efecto anti-stress, suaviza y calma piel sensible, repara barrera cutánea, ultrahidratación por 24 horas.","Vitamina B3 (Niacinamida), Vitamina B5 (D Pantenol), Lipomoist™, Ácido Hialurónico, Omega Max™, Aceite de Jojoba, Polifenoles de UVA. Hipoalergénica, sin fragancia, sin parabenos, testeado dermatológicamente.",Dimensiones 46mm x 40mm x 141mm. Peso 72gr.
7798182770844,Cepage,Atophén Fluide,Pomo x 50g,"Especialmente formulada para pieles intolerantes, sensibles y/o reactivas. Calma la piel sensible e irritada, alivia picores e inflamación, protege de la luz azul y polución urbana.",Hidratante y reparadora,"Aplicar sobre la piel limpia y seca del rostro, cuello y escote. Realizar suaves masajes circulares con la yema de los dedos. Aplicar dos veces al día (mañana y noche) para máxima efectividad.","Hidratación, calma y reparación para pieles sensibles e intolerantes. Protege de la luz azul y polución urbana, unifica el tono, mejora la textura, efecto anti-stress. Ultra hidratación por 24 horas, alto efecto antioxidante.","Vitamina B3 (Niacinamida), Vitamina B5 (D Pantenol), Lipomoist™, Ácido Hialurónico, Polifenoles de UVA. Hipoalergénica, sin fragancia, sin parabenos, testeado dermatológicamente.",Dimensiones 46mm x 40mm x 141mm. Peso 72gr.
7798182771285,Cepage,Atophén Baumé,Pomo x 200g,"Especialmente formulado para pieles secas, muy secas y/o con tendencia atópica. Relipidiza, hidrata y calma. Alivia la tirantez, picor, enrojecimiento y resequedad. Ayuda a reparar y reforzar la barrera cutánea.",Bálsamo ultra emoliente,Aplicar sobre la piel limpia y seca del rostro y/o cuerpo. Aplicar mínimo dos veces al día para efectividad máxima.,,"Dermatológicamente y bajo control pediátrico, sin fragancia, testeado clínicamente, hipoalergénico, sin parabenos.",
7798182771018,Cepage,Cicanol Stries,Pomo x 20g,Crema reafirmante y regeneradora para controlar y ayudar a prevenir las estrías rosadas.,Anti-Estrías,Aplicar dos veces al día con ligeros movimientos circulares sobre las zonas afectadas y a prevenir.,"Prevención y cuidado de estrías incipientes, favorece la cicatrización, promueve elasticidad y suavidad, estimula la renovación celular, regenera, hidrata y alivia la tirantez, alto efecto antioxidante, piel más tersa y elástica.","Vitamina A 250000UI, Alantoína, Colágeno, Manteca de Karité, Vitamina E, Polifenoles de UVA. Hipoalergénica, sin parabenos, dermatológicamente testeada.",
7798182770257,Cepage,Cicanol QD Gel,Pomo cánula x 5g,"Colabora en la reparación de la piel lesionada, irritada y agrietada.",Gel reparador epidérmico,"Aplicar una o dos veces al día, una capa fina sobre el área afectada, limpia y seca. Esperar que seque. Para un mayor efecto, el área debe estar cubierta las 24 horas. Se recomienda utilizar durante 60-90 días.","Mejora la apariencia cosmética de la piel, crea un ambiente óptimo para la regeneración de las fibras de colágeno, ayuda a desvanecer marcas como cicatrices y lesiones, mantiene la piel protegida e hidratada.","Testeado clínica y dermatológicamente y bajo control pediátrico. Hipoalergénico, sin parabenos, no irritante.","Formulado para su uso en adultos, niños y bebés a partir de los 6 meses de edad. Dimensiones 30mm x 25mm x 110mm. Peso 25gr."
